"question_id","user_id","sms_guru_id","category_main_id","question","description","tags","categories","url","rating_count_positive","rating_count_negative","answer_count","reported","answered","active","deleted","seo_locked","editor_locked","editor_id","created_at","updated_at"
"5119","0","70484","21","Wer ist mit 4 Minutes auf platz 1 in den Charts?","","Charts, Band, 4, Minutes, single","Musik-Charts","film-musik/musik-charts/wer-ist-mit-4-minutes-auf-platz-1-in-den-charts-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","9","2010-04-05 21:40:37","2010-04-08 20:52:37"
"18917","0","0","21","Wer sang dieses Lied \" du bist da und das ist wunderbar...\"?","","Wunderbar, du bist da und das ist wunderbar, sang, giovanni, lied","Musik-Charts","film-musik/musik-charts/wer-sang-dieses-lied-du-bist-da-und-das-ist-wunderbar-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","13","2010-03-16 22:03:21","2010-06-16 12:32:12"
"658","0","65989","58","Habedere,wia vui hoibe schaffst du?","","Halbe, Maß","Freundschaft","liebe-beziehung/freundschaft/habedere-wia-vui-hoibe-schaffst-du-","0","0","1","0","0","1","0","0","0000-00-00 00:00:00","0","2010-03-31 16:48:42","2010-04-10 21:30:49"
"19214","0","0","58","Können Desi,Jan und Nici am Freitag abend kommen?","","Desi, Jan, Nici","Freundschaft","liebe-beziehung/freundschaft/koennen-desi-jan-und-nici-am-freitag-abend-kommen-","0","0","2","0","0","1","0","0","0000-00-00 00:00:00","22","2010-04-14 21:18:04","2010-06-18 02:11:56"
"14271","0","0","21","Was sagt Stephan bei dem Lied eine botschaft für Paranoide vorwärts denn im Lied sagt er es rückwärts.","","Stephan, Lied, paranoid","Musik-Charts","film-musik/musik-charts/was-sagt-stephan-bei-dem-lied-eine-botschaft-fuer-paranoide-vorwaerts-denn-im-lied-sagt-er-es-rueckwaerts-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","5","2009-07-24 19:23:00","2010-04-29 12:23:14"
"2413","0","67784","77","Welche Körpchengröße hat Djamila Rowe?","","BH, Titten, Brüste","Fun","adult/fun/welche-koerpchengroesse-hat-djamila-rowe-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","0","2010-03-31 20:00:17","2010-04-07 00:40:35"
"18085","0","0","82","Welche bekannten pornodarstellerinnen sind in den letzten 3 jahren verstorben?","","Pornodarstellerin","Celebrities/Pornostars","adult/celebrities-pornostars/welche-bekannten-pornodarstellerinnen-sind-in-den-letzten-3-jahren-verstorben-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","5","2010-01-03 11:31:31","2010-06-08 13:16:40"
"13630","0","0","62","Wann ist der namenstag von Vanessa","","Vanessa, Namenstag","Horoskop","astrologie/horoskop/wann-ist-der-namenstag-von-vanessa","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","5","2009-06-02 17:18:00","2010-04-26 11:37:58"
"7162","0","72527","58","Warum ist dani immer so gemein?","","Verhalten, Böse, aufmerksamkeit, erklärung","Freundschaft","liebe-beziehung/freundschaft/warum-ist-dani-immer-so-gemein-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","9","2010-04-06 08:35:36","2010-04-11 20:20:54"
"15743","0","0","62","Wie kann ich eine frau auf die ich stehe rumbekommen ins bett?","","Frau, Bett","Horoskop","astrologie/horoskop/wie-kann-ich-eine-frau-auf-die-ich-stehe-rumbekommen-ins-bett-","0","0","0","0","0","1","0","1","0000-00-00 00:00:00","5","2009-08-09 01:27:00","2010-05-06 10:23:58"
"12059","0","0","65","Was ist ein aszendent beim sternzeichen","","Aszendent, Sternzeichen, Erklärung","Sternzeichen","astrologie/sternzeichen/was-ist-ein-aszendent-beim-sternzeichen","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","9","2009-01-04 18:16:29","2010-04-15 18:12:54"
