"question_id","user_id","sms_guru_id","category_main_id","question","description","tags","categories","url","rating_count_positive","rating_count_negative","answer_count","reported","answered","active","deleted","seo_locked","editor_locked","editor_id","created_at","updated_at"
"13371","0","0","49","Was ist THC?","","THC","Pflanzen","wissen/pflanzen/was-ist-thc-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","5","2009-05-19 12:40:16","2010-04-23 15:03:49"
"16360","0","0","43","WIEVIEL EURO UNGEFÄHR KOSTET EINE RICHTIG GROSSE HARFE VOM FACHMANN?","","Harfe, Preis","Shopping","freizeit-sport/shopping/wieviel-euro-ungefaehr-kostet-eine-richtig-grosse-harfe-vom-fachmann-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","13","2009-09-30 14:18:00","2010-05-31 16:39:54"
"18673","0","0","26","Was bedeutet der Name \"Vassia\"?","","Vassia, Name, Bedeutung, Vasya, Vasiliy, Basil","Namensbedeutung","namensforschung/namensbedeutung/was-bedeutet-der-name-vassia-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","16","2010-02-22 01:44:00","2010-06-15 15:49:53"
"4871","0","70236","70","Hat Cristiano Ronaldo dos Santos Aveiro im Moment eine Freundin?","","Sport, Freundin, Fussball, Christiano","Prominente","stars-promis/prominente/hat-cristiano-ronaldo-dos-santos-aveiro-im-moment-eine-freundin-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","8","2010-04-05 20:35:29","2010-04-08 19:33:16"
"12921","0","0","N","Gärtner feuchter","","N","N","N","0","0","0","0","0","0","1","1","0000-00-00 00:00:00","10","2009-04-18 12:29:23","2010-04-18 18:03:03"
"4872","0","70237","50","Wie viel Mitarbeiter hat die otto group?","","Otto Group, Mitarbeiter, 55.000, 19 Länder","Beruf","wissen/beruf/wie-viel-mitarbeiter-hat-die-otto-group-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","4","2010-04-05 20:35:30","2010-04-08 19:33:31"
"3288","0","68659","24","Wie hieß die universität pgu in tiraspol?","","Universität, PGU, Tiraspol,Name","Regionales","alltag/regionales/wie-hiess-die-universitaet-pgu-in-tiraspol-","0","0","1","0","0","1","0","0","0000-00-00 00:00:00","0","2010-04-01 00:20:20","2010-04-14 09:48:24"
"15752","0","0","20","Wie gross ist der sänger von billy talent Ian D'Sa?","","Billy Talent","Musik-Bands","film-musik/musik-bands/wie-gross-ist-der-saenger-von-billy-talent-ian-d-sa-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","5","2009-08-09 01:51:00","2010-05-06 11:04:26"
"14570","0","0","65","Passen krebs und schütze zusammen?","","Krebs, Schütze","Sternzeichen","astrologie/sternzeichen/passen-krebs-und-schuetze-zusammen-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","5","2009-07-28 01:41:00","2010-05-03 14:02:46"
"15256","0","0","26","Was bedeutet der Nane Gwendolin?","","Name, Bedeutung, Gwendolin","Namensbedeutung","namensforschung/namensbedeutung/was-bedeutet-der-nane-gwendolin-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","9","2009-08-02 00:11:00","2010-05-05 17:27:50"
"18564","0","0","20","Wer ist Gossip?","","Gossip","Musik-Bands","film-musik/musik-bands/wer-ist-gossip-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","23","2010-02-18 08:04:00","2010-06-15 06:41:20"
"4391","0","69756","41","Ist kohlensäure ungesund?","","Getränke, Magen, ungesund","Ernährung","mensch-koerper/ernaehrung/ist-kohlensaeure-ungesund-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","0","2010-04-05 17:20:48","2010-04-08 01:02:33"
"14113","0","0","26","Was bedeutet der Nachname Flurschütz?","","Flurschütz","Namensbedeutung","namensforschung/namensbedeutung/was-bedeutet-der-nachname-flurschuetz-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","5","2009-07-23 13:22:57","2010-04-28 16:35:44"
"19288","0","0","N","was wäre wenn präsident schwarzenegger eine andere nummer genommen hätte","","N","N","was-waere-wenn-praesident-schwarzenegger-eine-andere-nummer-genommen-haette","0","0","2","0","0","0","1","1","0000-00-00 00:00:00","13","2010-04-16 18:31:02","2010-06-18 15:52:02"
"18780","0","0","41","An welchem Datum ist immer der Tag des Bieres?","","Bier, Tag, 23. April, Brauerei","Ernährung","mensch-koerper/ernaehrung/an-welchem-datum-ist-immer-der-tag-des-bieres-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","40","2010-03-03 15:50:00","2010-06-15 20:26:37"
"9814","0","0","N","11880 kein Eintrag","","N","N","N","0","0","0","0","0","0","1","1","0000-00-00 00:00:00","13","2009-10-28 19:29:00","2010-06-02 17:57:09"
"19234","0","0","24","Kann Man in Mönchengladbach schöne Steine finden ?","","Mönchengladbach, Steine, finden","Regionales","alltag/regionales/kann-man-in-moenchengladbach-schoene-steine-finden-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","22","2010-04-15 12:55:36","2010-06-18 03:04:17"
"11991","0","0","51","Kann die seele denken?Oder denkt der körper?","","Denken, aktivität, Seele, Gehirn","Psychologie","wissen/psychologie/kann-die-seele-denken-oder-denkt-der-koerper-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","9","2008-12-30 13:31:33","2010-04-15 17:44:59"
"1460","0","66821","61","Hallo 
Ich hab ein problem ich hab mich in einen jungen verliebt und ich hab das gefühl er mag mich 
Was soll ich tun","","Liebe, Tipps","Partnerschaft","liebe-beziehung/partnerschaft/hallo-ich-hab-ein-problem-ich-hab-mich-in-einen-jungen-verliebt-und-ich-hab-das-gefuehl-er-mag-mich-was-soll-ich-tun","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","0","2010-03-31 16:49:11","2010-04-06 11:50:18"
"20094","0","0","62","liebt er mich noch","","Liebe","Horoskop","astrologie/horoskop/liebt-er-mich-noch","0","0","1","0","0","1","0","0","0000-00-00 00:00:00","5","2010-05-20 13:45:54","2010-06-24 13:53:17"
"3472","0","68843","20","Wie heißt der Sänger der Böhsen Onkelz?","","Böhse, Onkelz, Sänger","Musik-Bands","film-musik/musik-bands/wie-heisst-der-saenger-der-boehsen-onkelz-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","0","2010-04-01 01:25:20","2010-04-07 15:36:54"
"20516","0","0","70","Was macht gerade Malin Stankovic (aus Eurovision) ?","Er hat bei Eurovision 2010 mitgesungen. Für das Land Serbien!","Malin Stankovic","Prominente","stars-promis/prominente/was-macht-gerade-malin-stankovic-aus-eurovision-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","5","2010-06-02 18:19:17","2010-06-25 14:35:25"
"19849","0","0","32","Sollte man mit Stammzellen forschen?","","stammzellenforschung, stammzellen, forschen","Biologie","schule/biologie/sollte-man-mit-stammzellen-forschen-","0","0","3","0","0","1","0","1","0000-00-00 00:00:00","13","2010-05-10 18:17:00","2010-06-22 17:26:14"
"6770","0","72135","N","ich muss um 1545 in Hattenheim (Hessen) sein. Wie komme ich am besten aus Frankfurt/Main mit dem Zug hin","","N","N","N","0","0","0","0","0","0","1","1","0000-00-00 00:00:00","10","2010-04-06 06:20:44","2010-04-10 20:21:49"
"15346","0","0","37","Kann man auch nur mit kondom verhüten.","","Kondom, Verhütung","Sexualität","mensch-koerper/sexualitaet/kann-man-auch-nur-mit-kondom-verhueten-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","5","2009-08-03 16:34:00","2010-05-05 18:11:08"
"16296","0","0","56","Warum fliegen wir nicht mit warb? obwol wir es tehoretisch warb mit einem raumschiff ereichen können!","","Raumschiff, Warp-Antrieb","Technik","wissen/technik/warum-fliegen-wir-nicht-mit-warb-obwol-wir-es-tehoretisch-warb-mit-einem-raumschiff-ereichen-koennen-","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","5","2009-08-26 10:50:00","2010-05-26 11:40:54"
"417","0","65748","77","Wieviel tampons braucht man um eine badewanne leer zu machen","","Tampon, Badewanne","Fun","adult/fun/wieviel-tampons-braucht-man-um-eine-badewanne-leer-zu-machen","0","0","0","0","0","1","0","1","0000-00-00 00:00:00","0","2010-03-31 16:48:33","2010-03-31 20:35:25"
"1392","0","66753","32","Welcher heimische süswasser fisch hat die schererten zähne","","Fisch, Süßwasser, Zähne","Biologie","schule/biologie/welcher-heimische-sueswasser-fisch-hat-die-schererten-zaehne","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","0","2010-03-31 16:49:09","2010-04-06 11:36:46"
"20560","0","0","87","bin ich geil","","geil","Unnützes","wissen/unnuetzes/bin-ich-geil","0","0","3","1","0","0","0","0","0000-00-00 00:00:00","5","2010-06-04 01:07:50","2010-06-28 10:02:59"
"17158","0","0","70","Welche stars haben am 20.3 geburtstag","","20.03., Geburtstag, März","Prominente","stars-promis/prominente/welche-stars-haben-am-20-3-geburtstag","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","13","2009-09-11 00:38:00","2010-05-28 11:09:15"
"10464","0","0","80","Wie schmeckt sperma","","Sperma, schmecken","Sex-Lexikon","adult/sex-lexikon/wie-schmeckt-sperma","0","0","0","0","0","1","0","0","0000-00-00 00:00:00","9","2008-10-25 20:53:28","2010-04-12 19:02:10"
